date,time,value
12.04.20,13:55:00,159.7891395
12.04.20,14:00:00,159.6423687
12.04.20,14:05:00,161.9170202
12.04.20,14:10:00,161.9031863
12.04.20,14:15:00,161.6540537
12.04.20,14:20:00,161.5070815
12.04.20,14:25:00,162.0715138
12.04.20,14:30:00,163.6025649
12.04.20,14:35:00,165.2816912
12.04.20,14:40:00,165.8903522
12.04.20,14:45:00,162.8706981
12.04.20,14:50:00,162.9794273
12.04.20,14:55:00,163.4022747
12.04.20,15:00:00,163.1309742
12.04.20,15:05:00,163.1555361
12.04.20,15:10:00,161.4606364
12.04.20,15:15:00,163.075436
12.04.20,15:20:00,165.9698269
12.04.20,15:25:00,164.6074216
12.04.20,15:30:00,164.9252638
12.04.20,15:35:00,164.8404414
12.04.20,15:40:00,167.7487903
12.04.20,15:45:00,168.3505001
12.04.20,15:50:00,165.2629065
12.04.20,15:55:00,165.0100961
12.04.20,16:00:00,164.5107289
12.04.20,16:05:00,164.2431696
12.04.20,16:10:00,164.012359
12.04.20,16:15:00,163.2419654
12.04.20,16:20:00,163.991715
12.04.20,16:25:00,164.0302537
12.04.20,16:30:00,165.7804111
12.04.20,16:35:00,172.3819458
12.04.20,16:40:00,177.3193991
12.04.20,16:45:00,176.346233
12.04.20,16:50:00,173.5554398
12.04.20,16:55:00,170.3658988
12.04.20,17:00:00,168.0500551
12.04.20,17:05:00,174.4710567
12.04.20,17:10:00,173.5122252
12.04.20,17:15:00,174.2355268
12.04.20,17:20:00,177.4157697
12.04.20,17:25:00,177.6440226
12.04.20,17:30:00,178.6526463
12.04.20,17:35:00,176.155566
12.04.20,17:40:00,174.6725758
12.04.20,17:45:00,176.1702011
12.04.20,17:50:00,175.5041653
12.04.20,17:55:00,175.9484268
12.04.20,18:00:00,179.1494493
12.04.20,18:05:00,181.3505572
12.04.20,18:10:00,183.4030532
12.04.20,18:15:00,181.6174304
12.04.20,18:20:00,183.2405915
12.04.20,18:25:00,184.6643715
12.04.20,18:30:00,183.0424356
12.04.20,18:35:00,182.5160787
12.04.20,18:40:00,186.9546327
12.04.20,18:45:00,184.6083491
12.04.20,18:50:00,184.5971416
12.04.20,18:55:00,185.5124536
12.04.20,19:00:00,186.5786812
12.04.20,19:05:00,187.47791
12.04.20,19:10:00,190.7510968
12.04.20,19:15:00,191.4239065
12.04.20,19:20:00,193.6558654
12.04.20,19:25:00,197.5758753
12.04.20,19:30:00,198.7044545
12.04.20,19:35:00,201.4319826
12.04.20,19:40:00,202.1292947
12.04.20,19:45:00,204.487215
12.04.20,19:50:00,206.9209543
12.04.20,19:55:00,208.8013745
12.04.20,20:00:00,214.5592305
12.04.20,20:05:00,226.4896628
12.04.20,20:10:00,227.09851
12.04.20,20:15:00,223.0100434
12.04.20,20:20:00,228.9742802
12.04.20,20:25:00,228.3818239
12.04.20,20:30:00,230.6835904
12.04.20,20:35:00,235.0473348
12.04.20,20:40:00,236.9569638
12.04.20,20:45:00,237.9794913
12.04.20,20:50:00,242.1981106
12.04.20,20:55:00,244.6892392
12.04.20,21:00:00,247.2232516
12.04.20,21:05:00,248.7120409
12.04.20,21:10:00,256.5871296
12.04.20,21:15:00,263.8212194
12.04.20,21:20:00,261.5330688
12.04.20,21:25:00,256.0702427
12.04.20,21:30:00,263.8260659
12.04.20,21:35:00,261.7163003
12.04.20,21:40:00,260.503249
12.04.20,21:45:00,260.0550581
12.04.20,21:50:00,257.9942547
12.04.20,21:55:00,259.3694402
12.04.20,22:00:00,254.4280679
12.04.20,22:05:00,257.7973371
12.04.20,22:10:00,265.8172711
12.04.20,22:15:00,263.7710882
12.04.20,22:20:00,255.4263567
12.04.20,22:25:00,252.0485765
12.04.20,22:30:00,248.4508676
12.04.20,22:35:00,247.012702
12.04.20,22:40:00,243.3305423
12.04.20,22:45:00,236.5625104
12.04.20,22:50:00,232.3807275
12.04.20,22:55:00,228.7739026
12.04.20,23:00:00,225.7157585
12.04.20,23:05:00,226.8987811
12.04.20,23:10:00,220.4567982
12.04.20,23:15:00,215.1984741
12.04.20,23:20:00,211.4308008
12.04.20,23:25:00,204.4207782
12.04.20,23:30:00,200.8420194
12.04.20,23:35:00,199.4608027
12.04.20,23:40:00,202.9852149
12.04.20,23:45:00,202.2762687
12.04.20,23:50:00,195.3068412
12.04.20,23:55:00,193.2113008
13.04.20,00:00:00,185.1613794
13.04.20,00:05:00,181.6868555
13.04.20,00:10:00,175.5390817
13.04.20,00:15:00,171.1944591
13.04.20,00:20:00,164.7515753
13.04.20,00:25:00,162.081271
13.04.20,00:30:00,158.2450167
13.04.20,00:35:00,153.9464613
13.04.20,00:40:00,144.7491041
13.04.20,00:45:00,143.8344817
13.04.20,00:50:00,136.575529
13.04.20,00:55:00,133.571481
13.04.20,01:00:00,129.8576317
13.04.20,01:05:00,129.9313794
13.04.20,01:10:00,129.1868836
13.04.20,01:15:00,127.5925626
13.04.20,01:20:00,121.1970892
13.04.20,01:25:00,117.5578428
13.04.20,01:30:00,115.7859678
13.04.20,01:35:00,114.9898482
13.04.20,01:40:00,110.8081294
13.04.20,01:45:00,106.7137955
13.04.20,01:50:00,104.5711047
13.04.20,01:55:00,102.612769
13.04.20,02:00:00,100.9042053
13.04.20,02:05:00,105.8689496
13.04.20,02:10:00,106.8036074
13.04.20,02:15:00,104.8277436
13.04.20,02:20:00,100.2012511
13.04.20,02:25:00,98.70469541
13.04.20,02:30:00,102.356659
13.04.20,02:35:00,97.55566715
13.04.20,02:40:00,92.26249032
13.04.20,02:45:00,87.62302009
13.04.20,02:50:00,84.95914472
13.04.20,02:55:00,82.07642034
13.04.20,03:00:00,83.03774324
13.04.20,03:05:00,86.63467039
